"","mean","sd","median","lower2.5","upper97.5","diff"
"a[3,18]",-0.02391,0.01396,-0.02214,-0.05582,0.00026,0
"a[4,18]",0.00036,0.00193,-3e-05,-0.00434,0.00418,0
"a[5,18]",0.41513,0.03758,0.42863,0.33607,0.46766,1
"a[1,19]",0.23857,0.03712,0.25445,0.17921,0.29149,1
"a[2,19]",0.00301,0.00199,0.00278,-0.00123,0.00738,0
"a[3,19]",-0.02362,0.01383,-0.02162,-0.05584,0.00054,0
"a[4,19]",0.00038,0.00193,-4e-05,-0.00405,0.00391,0
"a[5,19]",0.41537,0.03809,0.42885,0.33633,0.46798,1
"a[1,20]",0.23813,0.03698,0.25368,0.17831,0.2914,1
"a[2,20]",0.00296,0.00207,0.0027,-0.00131,0.00774,0
"a[3,20]",-0.02382,0.01406,-0.02201,-0.05756,0.00099,0
"a[4,20]",0.00039,0.00192,-3e-05,-0.00418,0.00423,0
"a[5,20]",0.41538,0.03825,0.43018,0.33891,0.46913,1
"a[1,21]",0.23863,0.03722,0.25443,0.17963,0.29312,1
"a[2,21]",0.00296,0.00208,0.00274,-0.00134,0.00772,0
"a[3,21]",-0.0237,0.01392,-0.022,-0.05629,0.00121,0
"a[4,21]",0.00036,0.00195,-4e-05,-0.00425,0.00406,0
"a[5,21]",0.41533,0.03803,0.42938,0.3394,0.46872,1
"a[1,22]",0.23842,0.03719,0.25426,0.1785,0.29186,1
"a[2,22]",0.00303,0.00212,0.00276,-0.0015,0.00769,0
"a[3,22]",-0.02297,0.01434,-0.02142,-0.05457,0.00434,0
"a[4,22]",0.00029,0.00198,-4e-05,-0.0045,0.0039,0
"a[5,22]",0.41634,0.03716,0.42985,0.34019,0.46843,1
"a[1,23]",0.2383,0.03721,0.25408,0.17814,0.29261,1
"a[2,23]",0.00301,0.00204,0.00281,-0.00135,0.00771,0
"a[3,23]",-0.02349,0.01409,-0.0214,-0.0543,0.00124,0
"a[4,23]",0.00039,0.00197,-4e-05,-0.00387,0.00422,0
"a[5,23]",0.41607,0.03778,0.43001,0.33787,0.46879,1
"a[1,24]",0.2385,0.03726,0.25401,0.17829,0.29197,1
"a[2,24]",0.00299,0.00209,0.00267,-0.00135,0.00776,0
"a[3,24]",-0.02365,0.01425,-0.02196,-0.05478,0.00066,0
"a[4,24]",0.00035,0.00194,-4e-05,-0.00388,0.00399,0
"a[5,24]",0.41574,0.03798,0.42968,0.33674,0.46869,1
"a[1,25]",0.23796,0.03681,0.25419,0.17914,0.2903,1
"a[2,25]",0.0031,0.00208,0.00281,-0.0012,0.00798,0
"a[3,25]",-0.02343,0.01426,-0.02176,-0.05516,0.00208,0
"a[4,25]",0.00046,0.00189,-3e-05,-0.0037,0.00431,0
"a[5,25]",0.41651,0.03759,0.4305,0.33989,0.46997,1
"a[1,26]",0.23842,0.03715,0.25388,0.17902,0.29229,1
"a[2,26]",0.00298,0.00201,0.00274,-0.00124,0.00747,0
"a[3,26]",-0.02324,0.01444,-0.02152,-0.0556,0.00317,0
"a[4,26]",0.00034,0.0019,-4e-05,-0.00398,0.00394,0
"a[5,26]",0.41522,0.03826,0.42949,0.33699,0.4671,1
"a[1,27]",0.23845,0.0373,0.25403,0.17746,0.29321,1
"a[2,27]",0.00288,0.00207,0.00265,-0.00154,0.00731,0
"a[3,27]",-0.02356,0.01387,-0.02144,-0.05598,0.00042,0
"a[4,27]",3e-04,0.00188,-5e-05,-0.00404,0.00367,0
"a[5,27]",0.41614,0.03748,0.42976,0.33922,0.46906,1
"a[1,28]",0.23865,0.03704,0.25411,0.17946,0.29244,1
"a[2,28]",0.00292,0.00198,0.00268,-0.00126,0.00731,0
"a[3,28]",-0.02347,0.01411,-0.02168,-0.05535,0.00116,0
"a[4,28]",0.00031,0.00188,-4e-05,-0.00412,0.00365,0
"a[5,28]",0.41476,0.03887,0.42988,0.33313,0.46868,1
"a[1,29]",0.23826,0.0369,0.25444,0.17912,0.29101,1
"a[2,29]",0.00298,0.00211,0.00273,-0.00147,0.00779,0
"a[3,29]",-0.02387,0.01398,-0.02198,-0.05623,6e-04,0
"a[4,29]",0.00041,0.00189,-4e-05,-0.00376,0.0042,0
"a[5,29]",0.41593,0.03779,0.42996,0.3388,0.46922,1
"a[1,30]",0.23814,0.03709,0.25382,0.17869,0.29104,1
"a[2,30]",0.00309,0.00209,0.00274,-0.00106,0.008,0
"a[3,30]",-0.02472,0.01469,-0.02271,-0.05952,-0.00104,1
"a[4,30]",0.00029,0.00192,-4e-05,-0.0042,0.00378,0
"a[5,30]",0.41586,0.03758,0.42912,0.33869,0.46859,1
"a[1,31]",0.23855,0.03734,0.25426,0.17868,0.29303,1
"a[2,31]",0.00302,0.00201,0.00273,-0.0012,0.0077,0
"a[3,31]",-0.02312,0.0138,-0.02125,-0.0545,0.00191,0
"a[4,31]",0.00041,0.00188,-4e-05,-0.00376,0.00398,0
"a[5,31]",0.41504,0.03843,0.42899,0.33606,0.46984,1
"a[1,32]",0.23809,0.03678,0.25371,0.17942,0.29077,1
"a[2,32]",0.00275,0.00198,0.00259,-0.00158,0.00704,0
"a[3,32]",-0.02411,0.01422,-0.02195,-0.0576,-0.00091,1
"a[4,32]",0.00032,0.00191,-4e-05,-0.00415,0.00382,0
"a[5,32]",0.41674,0.03709,0.43035,0.34041,0.47006,1
"a[1,33]",0.23819,0.03694,0.25381,0.17887,0.29064,1
"a[2,33]",0.00262,0.002,0.00253,-0.00201,0.00678,0
"a[3,33]",-0.02341,0.01405,-0.02179,-0.05566,0.00223,0
"a[4,33]",4e-04,0.00185,-4e-05,-0.00365,0.0042,0
"a[5,33]",0.41634,0.03713,0.42936,0.34271,0.46959,1
"a[1,34]",0.23774,0.03702,0.25365,0.177,0.28962,1
"a[2,34]",0.00319,0.00196,0.00289,-0.00081,0.00765,0
"a[3,34]",-0.02367,0.0139,-0.0216,-0.05456,0.00085,0
"a[4,34]",0.00035,0.00191,-4e-05,-0.00421,0.0041,0
"a[5,34]",0.4167,0.03749,0.43042,0.34168,0.47128,1
