"","mean","sd","median","lower2.5","upper97.5","diff"
"a[3,79]",0.00081,0.01146,0.00111,-0.02153,0.01771,0
"a[4,79]",0.00117,0.00219,0.00145,-0.00331,0.00496,0
"a[5,79]",0.42966,0.01134,0.42944,0.40605,0.45354,1
"a[1,80]",0.25279,0.01625,0.25452,0.22752,0.2854,1
"a[2,80]",0.00282,0.00229,0.00198,-0.00011,0.00791,0
"a[3,80]",0.00087,0.01139,0.001,-0.02096,0.01727,0
"a[4,80]",0.00119,0.00218,0.00148,-0.00333,0.00491,0
"a[5,80]",0.43007,0.0114,0.42946,0.40788,0.45391,1
"a[1,81]",0.2529,0.0162,0.25422,0.22772,0.28564,1
"a[2,81]",0.00279,0.00225,0.00191,-7e-05,0.00773,0
"a[3,81]",0.00093,0.01138,0.00122,-0.02149,0.0175,0
"a[4,81]",0.00118,0.00217,0.00145,-0.00325,0.00495,0
"a[5,81]",0.42992,0.01101,0.42926,0.40854,0.45323,1
"a[1,82]",0.25295,0.01585,0.25435,0.2286,0.28558,1
"a[2,82]",0.00278,0.00223,0.00189,4e-05,0.00781,1
"a[3,82]",0.00086,0.01139,0.00151,-0.0213,0.0173,0
"a[4,82]",0.00118,0.0022,0.00148,-0.0033,0.00495,0
"a[5,82]",0.42961,0.01103,0.42948,0.40638,0.45049,1
"a[1,83]",0.25257,0.01623,0.25416,0.22779,0.28731,1
"a[2,83]",0.00283,0.00224,0.00197,8e-05,0.00773,1
"a[3,83]",0.00087,0.01137,0.00092,-0.02107,0.01748,0
"a[4,83]",0.00118,0.00217,0.00146,-0.00322,0.00489,0
"a[5,83]",0.42979,0.01111,0.42941,0.40745,0.4522,1
"a[1,84]",0.25288,0.01633,0.2544,0.22787,0.28732,1
"a[2,84]",0.00278,0.00223,0.00198,-1e-05,0.00777,0
"a[3,84]",0.00103,0.01142,0.00134,-0.02143,0.01781,0
"a[4,84]",0.00121,0.00217,0.00153,-0.00327,0.00483,0
"a[5,84]",0.42989,0.01116,0.42914,0.40864,0.45176,1
"a[1,85]",0.25255,0.01605,0.25417,0.22737,0.28542,1
"a[2,85]",0.0028,0.00223,0.00196,9e-05,0.00782,1
"a[3,85]",0.00087,0.01126,0.00128,-0.02133,0.01728,0
"a[4,85]",0.00119,0.00218,0.00145,-0.00319,0.00515,0
"a[5,85]",0.42986,0.01101,0.42922,0.408,0.45188,1
"a[1,86]",0.25305,0.01619,0.2546,0.22848,0.28611,1
"a[2,86]",0.00283,0.00226,0.00197,3e-05,0.0078,1
"a[3,86]",9e-04,0.01145,0.00114,-0.02158,0.01816,0
"a[4,86]",0.00117,0.00218,0.00143,-0.00334,0.00495,0
"a[5,86]",0.42953,0.01098,0.42928,0.40739,0.45182,1
"a[1,87]",0.25304,0.01621,0.25463,0.22796,0.28609,1
"a[2,87]",0.0028,0.00223,0.00198,9e-05,0.00775,1
"a[3,87]",0.00094,0.01144,0.00099,-0.0214,0.01778,0
"a[4,87]",0.00117,0.0022,0.00145,-0.00323,0.00489,0
"a[5,87]",0.4297,0.01111,0.42912,0.40856,0.45185,1
"a[1,88]",0.25285,0.01634,0.2543,0.22804,0.28717,1
"a[2,88]",0.00282,0.00225,0.00202,3e-05,0.00768,1
"a[3,88]",0.00099,0.01135,0.00155,-0.0214,0.01766,0
"a[4,88]",0.00118,0.00218,0.00146,-0.00332,0.00493,0
"a[5,88]",0.42999,0.01149,0.42934,0.40926,0.45397,1
"a[1,89]",0.25278,0.01602,0.25427,0.22769,0.28486,1
"a[2,89]",0.00284,0.00229,0.002,1e-05,0.00785,1
"a[3,89]",0.00104,0.01144,0.00128,-0.02121,0.01787,0
"a[4,89]",0.00121,0.00218,0.0015,-0.00324,0.00494,0
"a[5,89]",0.42971,0.01111,0.42921,0.40725,0.45321,1
"a[1,90]",0.25295,0.01613,0.2544,0.22747,0.28601,1
"a[2,90]",0.00281,0.00228,0.00188,-5e-05,0.00782,0
"a[3,90]",0.00096,0.01144,0.00122,-0.02148,0.01779,0
"a[4,90]",0.00118,0.00216,0.0015,-0.00328,0.00484,0
"a[5,90]",0.42982,0.01098,0.42926,0.40832,0.45375,1
"a[1,91]",0.25281,0.01609,0.25437,0.22763,0.28382,1
"a[2,91]",0.0028,0.00225,0.00192,0,0.00774,0
"a[3,91]",0.00094,0.01135,0.00158,-0.0215,0.01734,0
"a[4,91]",0.00121,0.0022,0.00147,-0.00321,0.00513,0
"a[5,91]",0.42937,0.01083,0.4291,0.40742,0.44947,1
"a[1,92]",0.25273,0.01602,0.25424,0.22747,0.28546,1
"a[2,92]",0.0028,0.00223,0.00196,2e-05,0.00768,1
"a[3,92]",0.00082,0.01147,0.00122,-0.022,0.01744,0
"a[4,92]",0.00119,0.00222,0.00145,-0.0033,0.00503,0
"a[5,92]",0.42972,0.01126,0.42903,0.40709,0.4525,1
"a[1,93]",0.25288,0.01595,0.25435,0.22803,0.28488,1
"a[2,93]",0.00282,0.00227,0.00197,2e-05,0.00773,1
"a[3,93]",0.00106,0.01138,0.00118,-0.02124,0.01759,0
"a[4,93]",0.00121,0.00216,0.00148,-0.00323,0.00493,0
"a[5,93]",0.42984,0.0113,0.42948,0.40765,0.45235,1
"a[1,94]",0.25291,0.01615,0.25429,0.22807,0.28639,1
"a[2,94]",0.00278,0.00221,0.00194,3e-05,0.00771,1
"a[3,94]",0.00094,0.01136,0.0015,-0.02136,0.01785,0
"a[4,94]",0.00116,0.00215,0.0014,-0.00319,0.0049,0
"a[5,94]",0.42969,0.01104,0.42925,0.40771,0.45155,1
"a[1,95]",0.25242,0.01606,0.25432,0.22735,0.28412,1
"a[2,95]",0.00278,0.00224,0.00192,-2e-05,0.0078,0
"a[3,95]",0.00098,0.01138,0.0013,-0.02116,0.01788,0
"a[4,95]",0.00113,0.00217,0.00141,-0.00319,0.00486,0
"a[5,95]",0.42964,0.0111,0.42938,0.40677,0.45191,1
"a[1,96]",0.25255,0.01608,0.25404,0.22717,0.28515,1
"a[2,96]",0.00281,0.00227,0.00193,0,0.00779,1
"a[3,96]",0.00086,0.0114,0.0014,-0.0212,0.017,0
"a[4,96]",0.00122,0.00217,0.00151,-0.00315,0.00497,0
"a[5,96]",0.42986,0.01133,0.42934,0.40808,0.45315,1
"a[1,97]",0.25272,0.01615,0.25399,0.22792,0.28641,1
"a[2,97]",0.00281,0.00225,0.00195,-4e-05,0.00778,0
"a[3,97]",0.00099,0.01155,0.00126,-0.02152,0.01787,0
"a[4,97]",0.00116,0.00216,0.00143,-0.00323,0.00489,0
"a[5,97]",0.42987,0.01136,0.4292,0.4076,0.45434,1
"a[1,98]",0.25233,0.01572,0.25386,0.22733,0.28404,1
"a[2,98]",0.0028,0.00223,0.00198,-2e-05,0.00782,0
"a[3,98]",0.00071,0.01141,0.00096,-0.02159,0.0171,0
"a[4,98]",0.00119,0.00215,0.00143,-0.00318,0.00487,0
"a[5,98]",0.43074,0.01125,0.42988,0.4096,0.45552,1
"a[1,99]",0.25228,0.01577,0.25385,0.22795,0.28335,1
"a[2,99]",0.00289,0.00228,0.00206,0.00011,0.00792,1
"a[3,99]",8e-04,0.01138,0.00115,-0.02198,0.01783,0
"a[4,99]",0.00124,0.00223,0.00151,-0.00322,0.00512,0
"a[5,99]",0.42891,0.01088,0.42896,0.4053,0.44947,1
"a[1,100]",0.25271,0.01633,0.25415,0.22751,0.28598,1
"a[2,100]",0.00283,0.00227,0.00196,-1e-05,0.00769,0
"a[3,100]",0.00085,0.01143,0.00127,-0.02141,0.01773,0
"a[4,100]",0.00117,0.00219,0.0015,-0.00332,0.005,0
"a[5,100]",0.42946,0.01142,0.42889,0.40638,0.45438,1
"a[1,101]",0.25237,0.01589,0.25405,0.22768,0.2846,1
"a[2,101]",0.00285,0.00228,0.002,7e-05,0.00787,1
"a[3,101]",0.00079,0.01142,0.00098,-0.02108,0.01729,0
"a[4,101]",0.0012,0.00219,0.00149,-0.00328,0.00498,0
"a[5,101]",0.4293,0.01096,0.42905,0.40621,0.45017,1
"a[1,102]",0.25214,0.01599,0.25385,0.22648,0.28433,1
"a[2,102]",0.00281,0.00223,0.00196,1e-05,0.00773,1
"a[3,102]",9e-04,0.01144,0.00115,-0.02133,0.01752,0
"a[4,102]",0.0012,0.00217,0.00149,-0.00333,0.00492,0
"a[5,102]",0.43,0.01109,0.42944,0.40853,0.45301,1
"a[1,103]",0.25255,0.01594,0.25437,0.22812,0.28614,1
"a[2,103]",0.00276,0.00226,0.00186,-4e-05,0.00771,0
"a[3,103]",0.00104,0.01129,0.00149,-0.021,0.01752,0
"a[4,103]",0.00116,0.00216,0.00143,-0.00331,0.00477,0
"a[5,103]",0.4304,0.01163,0.42963,0.40941,0.456,1
"a[1,104]",0.25263,0.01601,0.25407,0.2279,0.2851,1
"a[2,104]",0.00282,0.00225,0.00197,6e-05,0.00777,1
"a[3,104]",0.00088,0.01145,0.00113,-0.02102,0.01702,0
"a[4,104]",0.0012,0.00219,0.00143,-0.00325,0.00495,0
"a[5,104]",0.42948,0.01132,0.42901,0.40736,0.45287,1
"a[1,105]",0.25239,0.01616,0.25421,0.2267,0.28392,1
"a[2,105]",0.00289,0.00228,0.00204,0.00011,0.00792,1
"a[3,105]",0.00074,0.01145,0.00117,-0.02189,0.01689,0
"a[4,105]",0.00122,0.00217,0.00146,-0.00323,0.00496,0
"a[5,105]",0.43006,0.01138,0.42958,0.40845,0.45463,1
"a[1,106]",0.25157,0.0157,0.2533,0.22731,0.28349,1
"a[2,106]",0.00279,0.00227,0.00194,-0.00012,0.0077,0
"a[3,106]",0.00089,0.01152,0.0013,-0.02186,0.01757,0
"a[4,106]",0.00118,0.00219,0.00148,-0.0033,0.00496,0
"a[5,106]",0.43064,0.0113,0.4299,0.4093,0.45595,1
"a[1,107]",0.25247,0.01565,0.25377,0.22814,0.28311,1
"a[2,107]",0.0029,0.00229,0.00202,0.00016,0.00788,1
"a[3,107]",0.00079,0.01138,0.00103,-0.02127,0.01767,0
"a[4,107]",0.00125,0.00218,0.00152,-0.0033,0.00496,0
"a[5,107]",0.4295,0.01089,0.42908,0.40744,0.45159,1
"a[1,108]",0.25233,0.0159,0.25393,0.22774,0.28308,1
"a[2,108]",0.00297,0.00232,0.00206,0.00017,0.00802,1
"a[3,108]",9e-04,0.01128,0.00141,-0.02118,0.01727,0
"a[4,108]",0.00126,0.00224,0.00153,-0.00323,0.00532,0
"a[5,108]",0.42963,0.01128,0.42904,0.40734,0.45233,1
"a[1,109]",0.25256,0.01594,0.25425,0.22781,0.28653,1
"a[2,109]",0.00281,0.00221,0.00202,5e-05,0.00772,1
"a[3,109]",7e-04,0.0114,0.00087,-0.02158,0.01747,0
"a[4,109]",0.0012,0.00218,0.0015,-0.0032,0.00507,0
"a[5,109]",0.42947,0.01133,0.42924,0.40736,0.451,1
"a[1,110]",0.25252,0.01608,0.25414,0.2276,0.28483,1
"a[2,110]",0.00279,0.00227,0.00192,-3e-05,0.00788,0
"a[3,110]",0.00076,0.01127,0.00116,-0.02164,0.01662,0
"a[4,110]",0.00118,0.00217,0.00149,-0.00324,0.00485,0
"a[5,110]",0.4297,0.01112,0.4292,0.40751,0.45321,1
"a[1,111]",0.2525,0.01583,0.25435,0.22794,0.28599,1
"a[2,111]",0.00283,0.00224,0.002,4e-05,0.00774,1
"a[3,111]",0.00078,0.0113,0.00127,-0.0216,0.01717,0
"a[4,111]",0.00119,0.00218,0.00148,-0.00333,0.00497,0
"a[5,111]",0.42977,0.01121,0.42917,0.40787,0.45353,1
"a[1,112]",0.25251,0.01598,0.25422,0.22815,0.28497,1
"a[2,112]",0.00282,0.00228,0.00195,-2e-05,0.00784,0
"a[3,112]",0.00072,0.01137,0.00123,-0.02152,0.01669,0
"a[4,112]",0.00121,0.00214,0.00149,-0.00316,0.00501,0
"a[5,112]",0.42946,0.01115,0.42916,0.40655,0.45204,1
"a[1,113]",0.25238,0.01599,0.25413,0.2279,0.28421,1
"a[2,113]",0.00282,0.00229,0.00197,-8e-05,0.0079,0
"a[3,113]",0.00071,0.01143,0.00089,-0.02172,0.01691,0
"a[4,113]",0.00113,0.00217,0.00142,-0.00338,0.00485,0
"a[5,113]",0.42944,0.01116,0.42903,0.40711,0.4518,1
"a[1,114]",0.25243,0.01563,0.25429,0.22798,0.28371,1
"a[2,114]",0.00286,0.00227,0.00199,7e-05,0.00793,1
"a[3,114]",7e-04,0.01137,0.00089,-0.02143,0.01709,0
"a[4,114]",0.00123,0.00221,0.00152,-0.00317,0.00509,0
"a[5,114]",0.42973,0.01117,0.42947,0.40667,0.4532,1
"a[1,115]",0.25272,0.01625,0.25459,0.22734,0.2858,1
"a[2,115]",0.0029,0.00231,0.00202,9e-05,0.00797,1
"a[3,115]",0.00065,0.0113,0.0013,-0.02178,0.01665,0
"a[4,115]",0.00132,0.00224,0.00159,-0.00309,0.00541,0
"a[5,115]",0.42977,0.01138,0.42929,0.40695,0.45322,1
"a[1,116]",0.25183,0.01562,0.25368,0.22699,0.28214,1
"a[2,116]",0.00298,0.00232,0.00214,1e-04,0.00801,1
"a[3,116]",0.00039,0.01147,0.00075,-0.02153,0.01713,0
"a[4,116]",0.00146,0.00231,0.00172,-0.00309,0.00565,0
"a[5,116]",0.42946,0.01083,0.42908,0.40712,0.45078,1
"alpha[1,1,1]",0.13894,0.09598,0.12252,0.00682,0.36052,1
"alpha[2,1,1]",0.12634,0.0885,0.10945,0.00593,0.32563,1
"alpha[3,1,1]",0.10636,0.08012,0.08972,0.0042,0.29379,1
"alpha[4,1,1]",0.11355,0.08257,0.10075,0.00466,0.3101,1
"alpha[5,1,1]",0.11015,0.08273,0.09508,0.0042,0.30205,1
"alpha[6,1,1]",0.19872,0.10186,0.18925,0.02346,0.41649,1
"alpha[7,1,1]",0.07695,0.06283,0.06208,0.00274,0.23233,1
"alpha[8,1,1]",0.05675,0.05383,0.04174,0.00176,0.19808,1
"alpha[9,1,1]",0.07223,0.06128,0.05528,0.00231,0.22554,1
"alpha[10,1,1]",0,0,0,0,0,0.5
"alpha[11,1,1]",0,0,0,0,0,0.5
"alpha[12,1,1]",0,0,0,0,0,0.5
"alpha[1,2,1]",0.06044,0.05255,0.04699,0.0016,0.1907,1
"alpha[2,2,1]",0.06665,0.05668,0.0533,0.00214,0.20858,1
"alpha[3,2,1]",0.05373,0.04849,0.03996,0.00156,0.17474,1
"alpha[4,2,1]",0.06161,0.0535,0.0471,0.00186,0.20122,1
"alpha[5,2,1]",0.05129,0.0468,0.03824,0.00147,0.17062,1
"alpha[6,2,1]",0.06832,0.05816,0.05445,0.00213,0.21794,1
"alpha[7,2,1]",0.07068,0.05652,0.0576,0.00282,0.20997,1
"alpha[8,2,1]",0.07343,0.06009,0.0601,0.00216,0.22342,1
"alpha[9,2,1]",0.13324,0.08735,0.12203,0.0067,0.33286,1
"alpha[10,2,1]",0.1154,0.07984,0.10129,0.00669,0.30101,1
"alpha[11,2,1]",0.1292,0.08613,0.11768,0.0074,0.32188,1
"alpha[12,2,1]",0.11601,0.08382,0.10104,0.00431,0.30461,1
"alpha[1,3,1]",0.08204,0.06606,0.06591,0.00327,0.23867,1
"alpha[2,3,1]",0.08204,0.06606,0.06591,0.00327,0.23867,1
"alpha[3,3,1]",0.0889,0.06997,0.07176,0.0038,0.25821,1
"alpha[4,3,1]",0.0889,0.06997,0.07176,0.0038,0.25821,1
"alpha[5,3,1]",0.07313,0.05838,0.05834,0.00298,0.21446,1
"alpha[6,3,1]",0.07313,0.05838,0.05834,0.00298,0.21446,1
"alpha[7,3,1]",0.07089,0.05966,0.05668,0.00264,0.22159,1
"alpha[8,3,1]",0.07089,0.05966,0.05668,0.00264,0.22159,1
"alpha[9,3,1]",0.08289,0.06516,0.0685,0.00279,0.24057,1
"alpha[10,3,1]",0.08289,0.06516,0.0685,0.00279,0.24057,1
"alpha[11,3,1]",0.10215,0.07554,0.08903,0.00446,0.27137,1
"alpha[12,3,1]",0.10215,0.07554,0.08903,0.00446,0.27137,1
"alpha[1,4,1]",0.08513,0.06315,0.07336,0.00295,0.22786,1
"alpha[2,4,1]",0.08513,0.06315,0.07336,0.00295,0.22786,1
"alpha[3,4,1]",0.08513,0.06315,0.07336,0.00295,0.22786,1
"alpha[4,4,1]",0.0859,0.06304,0.07318,0.003,0.23098,1
"alpha[5,4,1]",0.0859,0.06304,0.07318,0.003,0.23098,1
"alpha[6,4,1]",0.0859,0.06304,0.07318,0.003,0.23098,1
"alpha[7,4,1]",0.06566,0.05441,0.05023,0.00235,0.19736,1
"alpha[8,4,1]",0.06566,0.05441,0.05023,0.00235,0.19736,1
"alpha[9,4,1]",0.06566,0.05441,0.05023,0.00235,0.19736,1
"alpha[10,4,1]",0.09665,0.06713,0.08665,0.00349,0.24738,1
"alpha[11,4,1]",0.09665,0.06713,0.08665,0.00349,0.24738,1
"alpha[12,4,1]",0.09665,0.06713,0.08665,0.00349,0.24738,1
"alpha[1,5,1]",0.09339,0.06545,0.08254,0.00407,0.2421,1
"alpha[2,5,1]",0.09339,0.06545,0.08254,0.00407,0.2421,1
"alpha[3,5,1]",0.09339,0.06545,0.08254,0.00407,0.2421,1
"alpha[4,5,1]",0.06863,0.05653,0.05335,0.00239,0.20592,1
"alpha[5,5,1]",0.06863,0.05653,0.05335,0.00239,0.20592,1
"alpha[6,5,1]",0.06863,0.05653,0.05335,0.00239,0.20592,1
"alpha[7,5,1]",0.08019,0.06043,0.06569,0.00278,0.22156,1
"alpha[8,5,1]",0.08019,0.06043,0.06569,0.00278,0.22156,1
"alpha[9,5,1]",0.08019,0.06043,0.06569,0.00278,0.22156,1
"alpha[10,5,1]",0.09112,0.0648,0.08004,0.00342,0.23767,1
"alpha[11,5,1]",0.09112,0.0648,0.08004,0.00342,0.23767,1
"alpha[12,5,1]",0.09112,0.0648,0.08004,0.00342,0.23767,1
"alpha[1,1,2]",0.10566,0.09222,0.08077,0.00291,0.3373,1
"alpha[2,1,2]",0.10544,0.093,0.07879,0.00329,0.34388,1
"alpha[3,1,2]",0.1133,0.09635,0.08841,0.00313,0.35748,1
"alpha[4,1,2]",0.10525,0.09648,0.08069,0.00257,0.36295,1
"alpha[5,1,2]",0.11066,0.10029,0.08227,0.00293,0.38196,1
"alpha[6,1,2]",0.11912,0.10278,0.09067,0.00304,0.38126,1
"alpha[7,1,2]",0.11111,0.0948,0.0847,0.00362,0.35094,1
"alpha[8,1,2]",0.1073,0.09662,0.08095,0.00288,0.35909,1
"alpha[9,1,2]",0.12217,0.10664,0.09152,0.0035,0.38705,1
"alpha[10,1,2]",0,0,0,0,0,0.5
"alpha[11,1,2]",0,0,0,0,0,0.5
"alpha[12,1,2]",0,0,0,0,0,0.5
"alpha[1,2,2]",0.07693,0.06739,0.05904,0.00203,0.25175,1
"alpha[2,2,2]",0.07813,0.07008,0.05841,0.00195,0.2588,1
"alpha[3,2,2]",0.08032,0.0736,0.05787,0.00284,0.27814,1
"alpha[4,2,2]",0.08276,0.07295,0.06307,0.002,0.27096,1
"alpha[5,2,2]",0.084,0.07415,0.06239,0.00256,0.26802,1
"alpha[6,2,2]",0.08695,0.07609,0.0654,0.00259,0.27653,1
"alpha[7,2,2]",0.08122,0.07073,0.06241,0.00276,0.26015,1
"alpha[8,2,2]",0.08383,0.07356,0.06283,0.00292,0.27638,1
"alpha[9,2,2]",0.08589,0.07465,0.06515,0.00294,0.27549,1
"alpha[10,2,2]",0.09576,0.08765,0.0698,0.00242,0.33749,1
"alpha[11,2,2]",0.08375,0.07195,0.0654,0.00235,0.26377,1
"alpha[12,2,2]",0.08045,0.07374,0.05988,0.0022,0.28296,1
"alpha[1,3,2]",0.0854,0.07365,0.06564,0.00249,0.27196,1
"alpha[2,3,2]",0.0854,0.07365,0.06564,0.00249,0.27196,1
"alpha[3,3,2]",0.07986,0.06928,0.05994,0.00238,0.25673,1
"alpha[4,3,2]",0.07986,0.06928,0.05994,0.00238,0.25673,1
"alpha[5,3,2]",0.08408,0.07106,0.06538,0.00249,0.26194,1
"alpha[6,3,2]",0.08408,0.07106,0.06538,0.00249,0.26194,1
"alpha[7,3,2]",0.08509,0.06898,0.06694,0.00293,0.25532,1
"alpha[8,3,2]",0.08509,0.06898,0.06694,0.00293,0.25532,1
"alpha[9,3,2]",0.08922,0.07476,0.06829,0.00256,0.28081,1
"alpha[10,3,2]",0.08922,0.07476,0.06829,0.00256,0.28081,1
"alpha[11,3,2]",0.07635,0.06587,0.05998,0.00265,0.24692,1
"alpha[12,3,2]",0.07635,0.06587,0.05998,0.00265,0.24692,1
"alpha[1,4,2]",0.08276,0.06296,0.07125,0.0026,0.22888,1
"alpha[2,4,2]",0.08276,0.06296,0.07125,0.0026,0.22888,1
"alpha[3,4,2]",0.08276,0.06296,0.07125,0.0026,0.22888,1
"alpha[4,4,2]",0.08576,0.06677,0.0702,0.00278,0.24096,1
"alpha[5,4,2]",0.08576,0.06677,0.0702,0.00278,0.24096,1
"alpha[6,4,2]",0.08576,0.06677,0.0702,0.00278,0.24096,1
"alpha[7,4,2]",0.08083,0.06464,0.06432,0.00268,0.23787,1
"alpha[8,4,2]",0.08083,0.06464,0.06432,0.00268,0.23787,1
"alpha[9,4,2]",0.08083,0.06464,0.06432,0.00268,0.23787,1
"alpha[10,4,2]",0.08398,0.06409,0.0697,0.00309,0.23259,1
"alpha[11,4,2]",0.08398,0.06409,0.0697,0.00309,0.23259,1
"alpha[12,4,2]",0.08398,0.06409,0.0697,0.00309,0.23259,1
"alpha[1,5,2]",0.08368,0.06462,0.06932,0.00302,0.23829,1
"alpha[2,5,2]",0.08368,0.06462,0.06932,0.00302,0.23829,1
"alpha[3,5,2]",0.08368,0.06462,0.06932,0.00302,0.23829,1
"alpha[4,5,2]",0.08456,0.06413,0.07045,0.00324,0.23325,1
"alpha[5,5,2]",0.08456,0.06413,0.07045,0.00324,0.23325,1
"alpha[6,5,2]",0.08456,0.06413,0.07045,0.00324,0.23325,1
"alpha[7,5,2]",0.08363,0.06366,0.07023,0.00266,0.23378,1
"alpha[8,5,2]",0.08363,0.06366,0.07023,0.00266,0.23378,1
"alpha[9,5,2]",0.08363,0.06366,0.07023,0.00266,0.23378,1
"alpha[10,5,2]",0.08147,0.06321,0.06768,0.00267,0.23332,1
"alpha[11,5,2]",0.08147,0.06321,0.06768,0.00267,0.23332,1
"alpha[12,5,2]",0.08147,0.06321,0.06768,0.00267,0.23332,1
"cum.weight[1,1]",0,0,0,0,0,0.5
"cum.weight[2,1]",0,0,0,0,0,0.5
"cum.weight[3,1]",0,0,0,0,0,0.5
"cum.weight[4,1]",0.02267,0.01994,0.0174,0.00067,0.07466,1
"cum.weight[5,1]",0.04008,0.02566,0.03497,0.00602,0.10263,1
"cum.weight[6,1]",0.06393,0.03136,0.05888,0.01617,0.13522,1
"cum.weight[7,1]",0.12663,0.04369,0.123,0.05057,0.22376,1
"cum.weight[8,1]",0.16094,0.04735,0.15909,0.07844,0.26018,1
"cum.weight[9,1]",0.19705,0.05305,0.19473,0.10203,0.30475,1
"cum.weight[10,1]",0.2308,0.05846,0.2281,0.1238,0.34838,1
"cum.weight[11,1]",0.27099,0.06464,0.26994,0.15105,0.40273,1
"cum.weight[12,1]",0.31504,0.06759,0.31365,0.18667,0.45069,1
"cum.weight[13,1]",0.35479,0.06971,0.35349,0.22031,0.4911,1
"cum.weight[14,1]",0.39865,0.07193,0.39762,0.25897,0.5365,1
"cum.weight[15,1]",0.43794,0.07327,0.43781,0.29052,0.57564,1
"cum.weight[16,1]",0.48354,0.07401,0.48536,0.32868,0.62586,1
"cum.weight[17,1]",0.5085,0.07393,0.51013,0.35705,0.64845,1
"cum.weight[18,1]",0.53234,0.07439,0.53436,0.37676,0.67258,1
"cum.weight[19,1]",0.55538,0.07221,0.55737,0.41052,0.69122,1
"cum.weight[20,1]",0.57263,0.07076,0.57437,0.42994,0.70587,1
"cum.weight[21,1]",0.59355,0.0699,0.59586,0.45221,0.72603,1
"cum.weight[22,1]",0.61168,0.06933,0.61508,0.46951,0.74575,1
"cum.weight[23,1]",0.63453,0.06819,0.63797,0.49163,0.76056,1
"cum.weight[24,1]",0.65495,0.06745,0.65868,0.51793,0.77843,1
"cum.weight[25,1]",0.66976,0.06597,0.67278,0.5323,0.79021,1
"cum.weight[26,1]",0.68457,0.0669,0.68842,0.54341,0.8059,1
"cum.weight[27,1]",0.6962,0.06541,0.69973,0.55599,0.81296,1
"cum.weight[28,1]",0.70783,0.06544,0.71165,0.56609,0.82222,1
"cum.weight[29,1]",0.71776,0.06412,0.72217,0.5789,0.83278,1
"cum.weight[30,1]",0.72769,0.06405,0.73244,0.59159,0.84424,1
"cum.weight[31,1]",0.73786,0.06263,0.74244,0.60779,0.85062,1
"cum.weight[32,1]",0.74803,0.06243,0.75241,0.61907,0.85969,1
"cum.weight[33,1]",0.76067,0.0607,0.7647,0.63472,0.86887,1
"cum.weight[34,1]",0.77331,0.06101,0.777,0.64356,0.8817,1
"cum.weight[35,1]",0.78492,0.05901,0.78838,0.66147,0.88992,1
"cum.weight[36,1]",0.79653,0.05881,0.79977,0.67465,0.9017,1
"cum.weight[37,1]",0.80676,0.0561,0.80928,0.69189,0.90635,1
"cum.weight[38,1]",0.81699,0.05482,0.81993,0.7048,0.91359,1
"cum.weight[39,1]",0.82722,0.05505,0.83064,0.71461,0.92175,1
"cum.weight[40,1]",0.8337,0.05364,0.83697,0.72248,0.92463,1
"cum.weight[41,1]",0.84017,0.05292,0.84361,0.73187,0.92898,1
"cum.weight[42,1]",0.84664,0.05293,0.85066,0.73804,0.93487,1
"cum.weight[43,1]",0.85523,0.05067,0.85948,0.7506,0.93989,1
"cum.weight[44,1]",0.86382,0.04942,0.86716,0.75697,0.94411,1
"cum.weight[45,1]",0.8724,0.04925,0.87588,0.76356,0.95306,1
"cum.weight[46,1]",0.881,0.04644,0.88415,0.7775,0.9568,1
"cum.weight[47,1]",0.88959,0.04474,0.89385,0.78932,0.96192,1
"cum.weight[48,1]",0.89819,0.04429,0.9024,0.79981,0.96834,1
"cum.weight[49,1]",0.90747,0.04099,0.91166,0.8149,0.97198,1
"cum.weight[50,1]",0.91675,0.03908,0.92235,0.82624,0.97571,1
"cum.weight[51,1]",0.92603,0.03876,0.93197,0.83415,0.98286,1
"cum.weight[52,1]",0.93416,0.03525,0.94005,0.85134,0.98468,1
"cum.weight[53,1]",0.9423,0.03297,0.9484,0.86211,0.98798,1
"cum.weight[54,1]",0.95043,0.03221,0.95706,0.87109,0.99308,1
"cum.weight[55,1]",0.95715,0.02918,0.96393,0.884,0.99429,1
"cum.weight[56,1]",0.96387,0.02728,0.97109,0.8945,0.99571,1
"cum.weight[57,1]",0.97058,0.02675,0.97864,0.90127,0.99914,1
"cum.weight[58,1]",0.98039,0.01783,0.98576,0.93418,0.99942,1
"cum.weight[59,1]",0.99019,0.00892,0.99288,0.96709,0.99971,1
"cum.weight[60,1]",1,0,1,1,1,1
"cum.weight[1,2]",0,0,0,0,0,0.5
"cum.weight[2,2]",0,0,0,0,0,0.5
"cum.weight[3,2]",0,0,0,0,0,0.5
"cum.weight[4,2]",0.0313,0.02951,0.02251,0.00081,0.1088,1
"cum.weight[5,2]",0.05859,0.03827,0.0506,0.00831,0.1522,1
"cum.weight[6,2]",0.0869,0.0445,0.08045,0.02022,0.1908,1
"cum.weight[7,2]",0.11741,0.05021,0.11303,0.03712,0.22729,1
"cum.weight[8,2]",0.14574,0.05509,0.14202,0.05354,0.26601,1
"cum.weight[9,2]",0.17249,0.0582,0.17011,0.07035,0.30042,1
"cum.weight[10,2]",0.20174,0.06451,0.19741,0.09152,0.3412,1
"cum.weight[11,2]",0.22874,0.06817,0.22468,0.10937,0.37478,1
"cum.weight[12,2]",0.25592,0.07205,0.2525,0.12868,0.40472,1
