"","mean","sd","median","lower2.5","upper97.5","diff"
"a[5,18]",0.42968,0.01097,0.42914,0.40812,0.45177,1
"a[1,19]",0.25264,0.01607,0.25404,0.22734,0.28507,1
"a[2,19]",0.00278,0.00225,0.00189,4e-05,0.00773,1
"a[3,19]",0.00077,0.01137,0.00119,-0.02147,0.0169,0
"a[4,19]",0.00117,0.00216,0.00142,-0.00313,0.00491,0
"a[5,19]",0.42979,0.01125,0.42935,0.40787,0.45216,1
"a[1,20]",0.25262,0.01604,0.25436,0.22709,0.28446,1
"a[2,20]",0.0028,0.00223,0.00196,3e-05,0.00781,1
"a[3,20]",0.00077,0.01143,0.00119,-0.02146,0.01694,0
"a[4,20]",0.00121,0.00221,0.00146,-0.0032,0.00516,0
"a[5,20]",0.42984,0.01106,0.42938,0.40833,0.45285,1
"a[1,21]",0.25256,0.01579,0.25441,0.22744,0.2838,1
"a[2,21]",0.00278,0.00224,0.00191,5e-05,0.00773,1
"a[3,21]",0.00078,0.01137,0.00122,-0.02142,0.0177,0
"a[4,21]",0.00118,0.00216,0.00149,-0.00322,0.00486,0
"a[5,21]",0.43,0.01154,0.42946,0.40837,0.45578,1
"a[1,22]",0.25265,0.01591,0.25446,0.22774,0.28496,1
"a[2,22]",0.00281,0.00226,0.00198,-4e-05,0.00786,0
"a[3,22]",0.00077,0.01142,0.00128,-0.02125,0.01736,0
"a[4,22]",0.00119,0.00216,0.00146,-0.00314,0.00498,0
"a[5,22]",0.42965,0.01119,0.4292,0.40679,0.45572,1
"a[1,23]",0.25261,0.01596,0.25434,0.22805,0.28593,1
"a[2,23]",0.00281,0.00222,0.00199,9e-05,0.00769,1
"a[3,23]",0.00089,0.01144,0.00102,-0.02158,0.01685,0
"a[4,23]",0.00122,0.00219,0.00149,-0.00322,0.00499,0
"a[5,23]",0.42963,0.0109,0.42941,0.4073,0.45135,1
"a[1,24]",0.25236,0.01581,0.25418,0.2277,0.28513,1
"a[2,24]",0.0028,0.00225,0.00198,2e-05,0.00769,1
"a[3,24]",0.00084,0.01136,0.00113,-0.02157,0.01729,0
"a[4,24]",0.00117,0.00216,0.00144,-0.00331,0.00496,0
"a[5,24]",0.42975,0.01056,0.42942,0.40809,0.45007,1
"a[1,25]",0.25271,0.01598,0.25425,0.22798,0.28574,1
"a[2,25]",0.00286,0.00224,0.00202,0.00014,0.00783,1
"a[3,25]",0.00097,0.01145,0.00132,-0.02158,0.01795,0
"a[4,25]",0.00124,0.00217,0.00155,-0.00314,0.00491,0
"a[5,25]",0.42989,0.01153,0.42937,0.40664,0.4543,1
"a[1,26]",0.25253,0.01601,0.25406,0.22781,0.28613,1
"a[2,26]",0.00281,0.00227,0.00196,3e-05,0.00794,1
"a[3,26]",0.00072,0.01147,0.00102,-0.02142,0.01724,0
"a[4,26]",0.00122,0.0022,0.00148,-0.0033,0.00495,0
"a[5,26]",0.42971,0.01114,0.42913,0.40795,0.45258,1
"a[1,27]",0.25258,0.01617,0.25415,0.22797,0.28638,1
"a[2,27]",0.00275,0.00226,0.00193,-0.00011,0.00778,0
"a[3,27]",0.00098,0.01133,0.00161,-0.02128,0.01716,0
"a[4,27]",0.00114,0.00213,0.00144,-0.0032,0.00476,0
"a[5,27]",0.42987,0.01096,0.42935,0.40894,0.45107,1
"a[1,28]",0.25291,0.01624,0.25444,0.22772,0.28822,1
"a[2,28]",0.00274,0.00222,0.00192,-7e-05,0.00775,0
"a[3,28]",0.00086,0.01137,0.00131,-0.02129,0.01775,0
"a[4,28]",0.00106,0.00213,0.00138,-0.00331,0.00471,0
"a[5,28]",0.42973,0.01094,0.42942,0.40754,0.45284,1
"a[1,29]",0.25229,0.01608,0.25415,0.22717,0.2843,1
"a[2,29]",0.00278,0.0022,0.00196,-6e-05,0.0076,0
"a[3,29]",0.00064,0.01145,0.00097,-0.02153,0.01674,0
"a[4,29]",0.00113,0.00211,0.00145,-0.00326,0.0047,0
"a[5,29]",0.4305,0.01169,0.42964,0.40882,0.45763,1
"a[1,30]",0.25242,0.01583,0.25425,0.22762,0.28401,1
"a[2,30]",0.00285,0.00228,0.00195,6e-05,0.00786,1
"a[3,30]",8e-04,0.0113,0.00111,-0.02122,0.01722,0
"a[4,30]",0.00117,0.00222,0.00147,-0.00333,0.005,0
"a[5,30]",0.43005,0.01077,0.42945,0.40896,0.45353,1
"a[1,31]",0.25275,0.01624,0.2542,0.22779,0.28621,1
"a[2,31]",0.00277,0.00223,0.00193,-8e-05,0.00761,0
"a[3,31]",0.00096,0.01137,0.00141,-0.0213,0.01765,0
"a[4,31]",0.00112,0.00214,0.00141,-0.00326,0.00483,0
"a[5,31]",0.42959,0.01112,0.42917,0.4075,0.4507,1
"a[1,32]",0.25265,0.01608,0.25446,0.22786,0.28571,1
"a[2,32]",0.00277,0.0022,0.00199,4e-05,0.00765,1
"a[3,32]",0.00085,0.01145,0.00115,-0.02117,0.01756,0
"a[4,32]",0.00115,0.00217,0.00144,-0.00325,0.0049,0
"a[5,32]",0.4297,0.01102,0.42927,0.40789,0.453,1
"a[1,33]",0.25269,0.01608,0.25428,0.22776,0.28615,1
"a[2,33]",0.00288,0.00224,0.00208,0.00013,0.0078,1
"a[3,33]",0.00081,0.01132,0.00126,-0.02159,0.01721,0
"a[4,33]",0.00122,0.00217,0.00146,-0.00325,0.00495,0
"a[5,33]",0.43001,0.01106,0.42947,0.40807,0.45383,1
"a[1,34]",0.25259,0.01573,0.25443,0.2273,0.28414,1
"a[2,34]",0.00283,0.00222,0.002,9e-05,0.00762,1
"a[3,34]",0.00085,0.01146,0.00117,-0.02153,0.01753,0
"a[4,34]",0.00118,0.0022,0.00144,-0.00329,0.00492,0
"a[5,34]",0.42963,0.01099,0.42903,0.40781,0.45383,1
"a[1,35]",0.25249,0.01595,0.2542,0.22719,0.28496,1
"a[2,35]",0.003,0.00231,0.00217,0.00018,0.00791,1
"a[3,35]",9e-04,0.01137,0.00115,-0.02131,0.01744,0
"a[4,35]",0.00122,0.0022,0.00151,-0.0031,0.00505,0
"a[5,35]",0.42997,0.01115,0.42938,0.40729,0.45386,1
"a[1,36]",0.25259,0.01615,0.25433,0.2274,0.28548,1
"a[2,36]",0.00278,0.00222,0.00193,2e-05,0.00759,1
"a[3,36]",0.00083,0.01138,0.00104,-0.02115,0.01741,0
"a[4,36]",0.00117,0.00215,0.0015,-0.00325,0.00483,0
"a[5,36]",0.43,0.01121,0.42957,0.40815,0.45396,1
"a[1,37]",0.25286,0.01627,0.25455,0.22748,0.28662,1
"a[2,37]",0.00275,0.00222,0.00186,-0.00011,0.00764,0
"a[3,37]",0.0011,0.01132,0.00145,-0.02087,0.01769,0
"a[4,37]",0.00109,0.0021,0.00138,-0.00321,0.00465,0
"a[5,37]",0.4302,0.01122,0.42953,0.40786,0.45516,1
"a[1,38]",0.25208,0.01588,0.2537,0.2273,0.28429,1
"a[2,38]",0.00285,0.00223,0.00202,9e-05,0.00776,1
"a[3,38]",0.00087,0.01129,0.00123,-0.02133,0.01727,0
"a[4,38]",0.00127,0.00215,0.00157,-0.00319,0.00486,0
"a[5,38]",0.43015,0.01117,0.42952,0.40858,0.45523,1
"a[1,39]",0.2528,0.01612,0.2547,0.22764,0.2847,1
"a[2,39]",0.00278,0.00223,0.00192,-5e-05,0.00765,0
"a[3,39]",0.00082,0.01144,0.00137,-0.0213,0.01808,0
"a[4,39]",0.00116,0.00218,0.00146,-0.00318,0.0049,0
"a[5,39]",0.42973,0.01137,0.42912,0.40786,0.4532,1
"a[1,40]",0.25301,0.01598,0.25463,0.22822,0.28607,1
"a[2,40]",0.0028,0.00223,0.00197,2e-05,0.00768,1
"a[3,40]",0.00079,0.01142,0.00101,-0.02131,0.01716,0
"a[4,40]",0.00121,0.00218,0.0015,-0.00304,0.005,0
"a[5,40]",0.42969,0.01135,0.42933,0.40713,0.45178,1
"a[1,41]",0.25271,0.01604,0.25419,0.22803,0.28614,1
"a[2,41]",0.00282,0.00225,0.00193,7e-05,0.00784,1
"a[3,41]",0.00092,0.01135,0.00119,-0.02077,0.0176,0
"a[4,41]",0.00118,0.00218,0.00147,-0.00331,0.00492,0
"a[5,41]",0.42992,0.01153,0.42949,0.40787,0.4527,1
"a[1,42]",0.25273,0.01588,0.25447,0.22793,0.28521,1
"a[2,42]",0.00283,0.00227,0.00195,5e-05,0.00783,1
"a[3,42]",0.00097,0.01135,0.00136,-0.02141,0.01749,0
"a[4,42]",0.00118,0.00215,0.00148,-0.00325,0.00478,0
"a[5,42]",0.42951,0.01088,0.42917,0.40811,0.45053,1
"a[1,43]",0.25257,0.0161,0.25408,0.22786,0.28509,1
"a[2,43]",0.00277,0.00225,0.00192,-0.00012,0.00777,0
"a[3,43]",0.00077,0.01138,0.00109,-0.02145,0.0169,0
