"","original","new"
"1",5,4
"2",15,11
"3",10,7
"4",14,10
"5",2,2
"6",22,17
"7",19,14
"8",8,6
"9",7,5
"10",16,12
"11",1,1
"12",21,16
"13",23,18
"14",20,15
"15",11,8
"16",4,3
"17",13,9
"18",17,13
