"","mean","sd","median","lower2.5","upper97.5","diff"
"alpha[6,1,1,1]",0.11065,0.09483,0.08575,0.00349,0.35159,1
"alpha[7,1,1,1]",0.0982,0.08162,0.07909,0.00351,0.30975,1
"alpha[8,1,1,1]",0.12086,0.09647,0.09875,0.00437,0.35611,1
"alpha[9,1,1,1]",0.10792,0.09142,0.08524,0.00306,0.33884,1
"alpha[10,1,1,1]",0,0,0,0,0,0.5
"alpha[11,1,1,1]",0,0,0,0,0,0.5
"alpha[12,1,1,1]",0,0,0,0,0,0.5
"alpha[1,2,1,1]",0.0871,0.07815,0.0652,0.00233,0.29486,1
"alpha[2,2,1,1]",0.08835,0.07891,0.06655,0.00252,0.29191,1
"alpha[3,2,1,1]",0.08497,0.07591,0.06297,0.00243,0.28301,1
"alpha[4,2,1,1]",0.08521,0.07492,0.06493,0.00256,0.27859,1
"alpha[5,2,1,1]",0.08128,0.07279,0.06143,0.00235,0.27277,1
"alpha[6,2,1,1]",0.07794,0.06784,0.05971,0.00234,0.25429,1
"alpha[7,2,1,1]",0.0724,0.06053,0.05743,0.00256,0.2262,1
"alpha[8,2,1,1]",0.08178,0.06704,0.06621,0.00301,0.24632,1
"alpha[9,2,1,1]",0.08029,0.07024,0.06204,0.00227,0.26096,1
"alpha[10,2,1,1]",0.08653,0.07863,0.0643,0.0024,0.2916,1
"alpha[11,2,1,1]",0.08878,0.08018,0.06659,0.00256,0.29506,1
"alpha[12,2,1,1]",0.08536,0.07677,0.06323,0.00257,0.28587,1
"alpha[1,3,1,1]",0.08809,0.07985,0.06485,0.00245,0.29611,1
"alpha[2,3,1,1]",0.0824,0.07532,0.06042,0.00233,0.279,1
"alpha[3,3,1,1]",0.08614,0.07702,0.06432,0.0023,0.28681,1
"alpha[4,3,1,1]",0.08238,0.07446,0.06101,0.0023,0.27479,1
"alpha[5,3,1,1]",0.08375,0.07535,0.06229,0.00249,0.28029,1
"alpha[6,3,1,1]",0.07735,0.06888,0.05845,0.00219,0.25839,1
"alpha[7,3,1,1]",0.08225,0.07215,0.0626,0.0026,0.2691,1
"alpha[8,3,1,1]",0.08043,0.06666,0.06408,0.00285,0.2447,1
"alpha[9,3,1,1]",0.07821,0.07171,0.05761,0.00228,0.26649,1
"alpha[10,3,1,1]",0.0852,0.07697,0.0637,0.00242,0.28368,1
"alpha[11,3,1,1]",0.08713,0.07846,0.06527,0.00258,0.29339,1
"alpha[12,3,1,1]",0.08667,0.0768,0.06531,0.0024,0.28445,1
"alpha[1,4,1,1]",0.08357,0.07722,0.06128,0.00223,0.28715,1
"alpha[2,4,1,1]",0.08614,0.07724,0.06486,0.0025,0.28724,1
"alpha[3,4,1,1]",0.08501,0.07529,0.06425,0.00265,0.28079,1
"alpha[4,4,1,1]",0.08132,0.07559,0.05861,0.00217,0.27984,1
"alpha[5,4,1,1]",0.08256,0.07541,0.06099,0.00215,0.27909,1
"alpha[6,4,1,1]",0.0838,0.07455,0.06311,0.00234,0.27611,1
"alpha[7,4,1,1]",0.08229,0.07305,0.062,0.00252,0.2669,1
"alpha[8,4,1,1]",0.08033,0.06687,0.06378,0.0028,0.24963,1
"alpha[9,4,1,1]",0.07811,0.07203,0.05713,0.00226,0.26748,1
"alpha[10,4,1,1]",0.08334,0.07446,0.06222,0.00247,0.27251,1
"alpha[11,4,1,1]",0.0869,0.07827,0.06496,0.00254,0.29196,1
"alpha[12,4,1,1]",0.08662,0.07714,0.06522,0.00238,0.28811,1
"alpha[1,5,1,1]",0.08379,0.07687,0.06165,0.00218,0.29063,1
"alpha[2,5,1,1]",0.08529,0.07782,0.06286,0.00246,0.29283,1
"alpha[3,5,1,1]",0.08129,0.0743,0.06062,0.00231,0.27626,1
"alpha[4,5,1,1]",0.08602,0.0776,0.064,0.00269,0.29051,1
"alpha[5,5,1,1]",0.08111,0.0719,0.06156,0.0025,0.26284,1
"alpha[6,5,1,1]",0.0839,0.07462,0.06283,0.00241,0.27762,1
"alpha[7,5,1,1]",0.08748,0.07084,0.07028,0.00295,0.26391,1
"alpha[8,5,1,1]",0.07904,0.06923,0.06126,0.00219,0.25605,1
"alpha[9,5,1,1]",0.07808,0.07163,0.05732,0.00221,0.26584,1
"alpha[10,5,1,1]",0.08348,0.0753,0.06302,0.00258,0.27914,1
"alpha[11,5,1,1]",0.08412,0.07684,0.06179,0.00252,0.28576,1
"alpha[12,5,1,1]",0.08641,0.07592,0.06554,0.00229,0.28114,1
"alpha[1,1,2,1]",0.1122,0.09148,0.09025,0.00379,0.3386,1
"alpha[2,1,2,1]",0.11208,0.09195,0.09016,0.00357,0.34028,1
"alpha[3,1,2,1]",0.10899,0.09351,0.08483,0.00311,0.34583,1
"alpha[4,1,2,1]",0.11471,0.09981,0.08728,0.00314,0.36649,1
"alpha[5,1,2,1]",0.11901,0.10331,0.09048,0.00351,0.38028,1
"alpha[6,1,2,1]",0.1109,0.09769,0.08365,0.00303,0.35869,1
"alpha[7,1,2,1]",0.09827,0.08315,0.07719,0.00343,0.30918,1
"alpha[8,1,2,1]",0.1082,0.09677,0.08007,0.00344,0.36375,1
"alpha[9,1,2,1]",0.11564,0.09999,0.08942,0.00328,0.37119,1
"alpha[10,1,2,1]",0,0,0,0,0,0.5
"alpha[11,1,2,1]",0,0,0,0,0,0.5
"alpha[12,1,2,1]",0,0,0,0,0,0.5
"alpha[1,2,2,1]",0.08759,0.07362,0.06922,0.00256,0.27094,1
"alpha[2,2,2,1]",0.08006,0.06893,0.06126,0.00258,0.25422,1
"alpha[3,2,2,1]",0.08039,0.07075,0.06133,0.00241,0.26226,1
"alpha[4,2,2,1]",0.08766,0.07742,0.06595,0.00252,0.29268,1
"alpha[5,2,2,1]",0.08657,0.07667,0.06568,0.00253,0.28486,1
"alpha[6,2,2,1]",0.08607,0.07622,0.06494,0.00252,0.28226,1
"alpha[7,2,2,1]",0.07174,0.06052,0.05643,0.00241,0.22632,1
"alpha[8,2,2,1]",0.08402,0.07193,0.06479,0.00268,0.2622,1
"alpha[9,2,2,1]",0.08406,0.07153,0.06503,0.00249,0.26364,1
"alpha[10,2,2,1]",0.08651,0.07934,0.06359,0.00233,0.30017,1
"alpha[11,2,2,1]",0.08472,0.07191,0.06607,0.00267,0.26773,1
"alpha[12,2,2,1]",0.0806,0.06827,0.06308,0.00256,0.25009,1
"alpha[1,3,2,1]",0.08406,0.07487,0.06284,0.00276,0.27981,1
"alpha[2,3,2,1]",0.08407,0.07472,0.06304,0.0026,0.27869,1
"alpha[3,3,2,1]",0.08015,0.07433,0.05838,0.00209,0.27397,1
"alpha[4,3,2,1]",0.08422,0.07597,0.06245,0.00245,0.28016,1
"alpha[5,3,2,1]",0.08314,0.07615,0.06102,0.00238,0.28493,1
"alpha[6,3,2,1]",0.08327,0.07342,0.06361,0.00256,0.27281,1
"alpha[7,3,2,1]",0.08097,0.07362,0.05988,0.00201,0.27826,1
"alpha[8,3,2,1]",0.08177,0.07064,0.06284,0.00261,0.26209,1
"alpha[9,3,2,1]",0.08489,0.07798,0.06285,0.00229,0.29083,1
"alpha[10,3,2,1]",0.08395,0.07703,0.06114,0.00226,0.28686,1
"alpha[11,3,2,1]",0.08287,0.07174,0.06387,0.00257,0.26764,1
"alpha[12,3,2,1]",0.08663,0.07436,0.0672,0.00258,0.27749,1
"alpha[1,4,2,1]",0.08576,0.07708,0.06339,0.00238,0.28898,1
"alpha[2,4,2,1]",0.08288,0.07704,0.06013,0.00217,0.2853,1
"alpha[3,4,2,1]",0.08003,0.07305,0.0595,0.00221,0.27094,1
"alpha[4,4,2,1]",0.08553,0.07835,0.0627,0.00237,0.29278,1
"alpha[5,4,2,1]",0.08439,0.077,0.0618,0.00237,0.28662,1
"alpha[6,4,2,1]",0.08011,0.0713,0.06018,0.00228,0.26468,1
"alpha[7,4,2,1]",0.08051,0.07307,0.05976,0.002,0.26726,1
"alpha[8,4,2,1]",0.08128,0.06953,0.06308,0.00266,0.25465,1
"alpha[9,4,2,1]",0.08453,0.07711,0.06298,0.00238,0.28654,1
"alpha[10,4,2,1]",0.08663,0.07725,0.06519,0.00249,0.29015,1
"alpha[11,4,2,1]",0.08242,0.07118,0.06386,0.00245,0.26195,1
"alpha[12,4,2,1]",0.08593,0.07285,0.06729,0.00267,0.27147,1
"alpha[1,5,2,1]",0.08357,0.07523,0.0619,0.00272,0.27788,1
"alpha[2,5,2,1]",0.08334,0.07604,0.06132,0.00256,0.28265,1
"alpha[3,5,2,1]",0.08328,0.07571,0.06192,0.00215,0.28514,1
"alpha[4,5,2,1]",0.08652,0.07881,0.06353,0.00235,0.29409,1
"alpha[5,5,2,1]",0.08023,0.07253,0.05981,0.00212,0.26442,1
"alpha[6,5,2,1]",0.08136,0.07252,0.06145,0.00235,0.26704,1
"alpha[7,5,2,1]",0.07855,0.07156,0.05758,0.00227,0.2665,1
"alpha[8,5,2,1]",0.08321,0.07299,0.06373,0.00245,0.26717,1
"alpha[9,5,2,1]",0.08596,0.07828,0.06321,0.00233,0.28956,1
"alpha[10,5,2,1]",0.08786,0.07907,0.06563,0.00266,0.29634,1
"alpha[11,5,2,1]",0.07945,0.06865,0.06176,0.00257,0.25284,1
"alpha[12,5,2,1]",0.08668,0.07255,0.06881,0.00261,0.2731,1
"alpha[1,1,1,2]",0.06287,0.05666,0.047,0.0018,0.20836,1
"alpha[2,1,1,2]",0.26968,0.12332,0.27052,0.03478,0.50336,1
"alpha[3,1,1,2]",0.08743,0.07818,0.06525,0.00244,0.29034,1
"alpha[4,1,1,2]",0.08834,0.07242,0.07141,0.00229,0.26399,1
"alpha[5,1,1,2]",0.09002,0.06257,0.07939,0.00471,0.23583,1
"alpha[6,1,1,2]",0.02882,0.026,0.02145,0.00079,0.09689,1
"alpha[7,1,1,2]",0.11744,0.05575,0.1233,0.01277,0.22155,1
"alpha[8,1,1,2]",0.0652,0.04063,0.06027,0.00379,0.15572,1
"alpha[9,1,1,2]",0.1902,0.07539,0.18103,0.06734,0.3599,1
"alpha[10,1,1,2]",0,0,0,0,0,0.5
"alpha[11,1,1,2]",0,0,0,0,0,0.5
"alpha[12,1,1,2]",0,0,0,0,0,0.5
"alpha[1,2,1,2]",0.0526,0.04845,0.03842,0.00138,0.18173,1
"alpha[2,2,1,2]",0.20501,0.11033,0.20425,0.01679,0.42128,1
"alpha[3,2,1,2]",0.059,0.05484,0.04255,0.00162,0.20239,1
"alpha[4,2,1,2]",0.06351,0.05215,0.05081,0.00222,0.1938,1
"alpha[5,2,1,2]",0.09646,0.06821,0.08394,0.00492,0.25556,1
"alpha[6,2,1,2]",0.06457,0.04663,0.0562,0.00312,0.1764,1
"alpha[7,2,1,2]",0.10252,0.05102,0.10796,0.00999,0.19778,1
"alpha[8,2,1,2]",0.01354,0.01317,0.00968,0.00037,0.0489,1
"alpha[9,2,1,2]",0.15958,0.05526,0.15528,0.06157,0.27954,1
